Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Morrisons Tex Mex Chilli Con Carne & Rice | Morrisons,2.5,0,112,2.6,1,15.2,2.7,1.5,6.1,0.19
Morrisons Fresh Ideas Chinese Chicken Noodles | Morrisons,3.25,0,92,1.8,0.3,11.6,1.6,1.8,6.3,0.38
Morrisons 10 Tempura Prawns | Morrisons,2.5,0,288,15.8,2.5,27.4,0.3,1.3,8.4,0.69
Morrisons Fresh Ideas King Prawn Linguine | Morrisons,3.25,0,88,1.3,0.2,12.5,6.2,2.4,5.3,0.45
Morrisons Chicken Rogan Josh & Pilau Rice | Morrisons,2.5,0,117,3.4,0.4,13.5,2.2,1.8,7.1,0.62
Morrisons Crispy Barbecue Chicken | Morrisons,3.75,0,170,5.6,1.3,7.7,6.5,3.8,20.1,0.56
"Morrisons Ready To Cook Chicken, Mushroom & Pancetta | Morrisons",3.75,0,127,4.5,1.5,0.5,0.5,1,20.7,0.4
Morrisons Chicken Bhuna & Pilau Rice | Morrisons,2.5,0,113,2.8,0.4,13.1,2.1,1.9,7.8,0.6
Morrisons V Taste Mushroom Bolognese | Morrisons,3,0,79,2,0.3,11.8,1.9,1.6,2.6,0.5
Morrisons Fresh Ideas High Protein Chicken Satay Noodles | Morrisons,3.25,0,118,2.8,1,13,2.5,2.2,8.9,0.38
Morrisons Chicken Dopiaza & Pilau Rice | Morrisons,2.5,0,163,5.7,0.5,17.6,3.2,2.9,8.9,0.6
Morrisons Italian Lasagne | Morrisons,2.5,0,125,4.9,2,11.9,2.3,1.1,7.7,0.44
Morrisons Takeaway Lamb Rogan Josh | Morrisons,3,0,120,6.3,1.2,3.7,3.6,1.6,11.3,0.52
Morrisons Italian Tuna Pasta Bake | Morrisons,2.5,0,132,4.5,1.6,14,3.1,1.2,8,0.44
Morrisons Italian Vegetable Lasagne | Morrisons,2.5,0,103,4.3,1.8,11,3.1,1.2,4.5,0.55
"Morrisons Liver, Bacon & Mash | Morrisons",2.5,0,109,3.7,1.4,10.8,1.6,0.8,7.5,0.53
Morrisons Italian Penne Bolognese Bake | Morrisons,2.5,0,151,4.2,2.2,19.5,2.3,1.1,7.9,0.36
Morrisons Takeaway Special Fried Rice | Morrisons,3.5,0,147,4.9,0.7,18.7,1.5,1.4,6.1,0.56
Morrisons Traditional Mincebeef Hotpot | Morrisons,2.5,0,132,4.7,1.6,14.2,0.3,2.9,6.7,0.38
Morrisons Italian Meat Feast Pasta Bake | Morrisons,2.5,0,156,8,3.7,14.2,1.8,0.9,6.3,0.63
Morrisons Spinach & Ricotta Cannelloni | Morrisons,2.5,0,120,4.8,2.7,13.5,2.7,0.9,5.3,0.38
Morrisons Beef Cannelloni | Morrisons,2.5,0,116,4.1,1.6,12.3,3.1,0.9,6.9,0.29
Morrisons Takeaway Chicken Sizzler | Morrisons,3,0,134,7.7,1,4.4,3,2.6,10.7,0.52
Morrisons Roasted Vegetable Risotto | Morrisons,2.5,0,132,4.6,0.7,18.2,3.4,1.5,3.6,0.58
Morrisons Tex Mex Chilli Wedge Melt | Morrisons,2.5,0,121,5.5,2.6,10,2,2.8,6.4,0.58
Morrisons V Taste Vegetable Paella | Morrisons,3,0,114,3.9,0.5,17,2.2,1.3,2,0.42
Morrisons Italian Garlic & Mushroom Dressed Spaghetti | Morrisons,2.5,0,178,6.6,0.6,23.2,0.6,2.6,5.1,0.19
Morrisons Spaghetti Pomodoro | Morrisons,2.5,0,107,2.6,0.3,16.8,2.4,1.5,3.2,0.37
Morrisons V Taste 3 Bean Chilli Non Carne | Morrisons,3,0,88,0.9,0.1,16.4,2.3,2,2.5,0.4
Morrisons V Taste Butternut Squash & Chickpea Curry | Morrisons,3,0,105,2.2,0.7,16.9,1.1,2.3,3,0.34
Morrisons V Taste Lentil Hotpot | Morrisons,3,0,116,2.7,0.2,16.4,1.8,4,4.5,0.48
Morrisons Traditional Beef & Onion Pie With Mash & Peas | Morrisons,3,0,167,7.6,3,18.5,1.6,1.9,5.2,0.5
Morrisons Traditional Roast Beef Dinner | Morrisons,3,0,96,2.3,0.5,9.4,1.3,1.4,8.5,0.55
Morrisons Sunblush Tomato & Mozzarella Flatbread | Morrisons,1.6,0,267,7.5,3.5,39.7,3.4,2.5,8.5,0.96
Morrisons Roast Chicken Dinner | Morrisons,3,0,99,1.6,0.2,12.7,1.6,1.9,7.4,0.49
Morrisons Savers Spaghetti Bolognese | Morrisons,1,0,84,1,0.4,13.4,2.6,1,4.7,0.58
Morrisons Savers Beef Lasagne | Morrisons,1,0,116,4.6,1.7,12.3,3.4,0.9,5.7,0.59
Morrisons Italian Garlic Baguette | Morrisons,0.8,0,334,12.7,7.7,45.9,2.7,1.5,8,0.78
Morrisons Savers Sausage & Mash | Morrisons,1,0,128,5.6,2.1,14.8,1.1,0.8,4.1,0.5
Morrisons Savers Macaroni Cheese | Morrisons,1,0,120,3.3,2.2,17.2,1.8,0.6,5,0.6
Morrisons Garlic & Herb Ciabatta | Morrisons,1.6,0,331,13.1,6.9,42.1,1.9,2.7,9.6,0.9
Morrisons Slow Cooked Lamb Shank With Mint Gravy | Morrisons,4,0,221,10.3,4.2,1.8,1.8,0.6,29.9,0.52
Morrisons Cod In Parsley Sauce & Mash | Morrisons,3,0,70,1.3,0.7,7.7,1.4,1.9,5.7,0.39
Morrisons Slow Cooked Beef Brisket In Gravy | Morrisons,4,0,137,4.6,1.7,3.7,2.4,0.5,19.8,0.72
Morrisons Takeaway Meal For 2 Sweet & Sour Curry | Morrisons,7.5,0,164,7.1,1.5,18,5.6,1.6,6.1,0.57
Morrisons Slow Cooked Gammon Shank | Morrisons,4,0,158,4.6,1.4,7.7,7.5,0.5,21,0.87
Morrisons Chicken Tikka & Rice | Morrisons,5.5,0,113,2.2,0.7,15.2,1.2,1.1,7.4,0.38
