Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Tesco Finest Chicken Korma With Pilau Rice 450G,3.5,FALSE,140,5.3,2.9,15.1,2.1,2.1,7,0.6
Tesco Finest Chicken Prawn & Chorizo Paella 475G,3.5,FALSE,107,2.4,0.5,15.4,1.9,1.3,5.5,0.5
Tesco Corned Beef Hash 450G,2.5,FALSE,114,3.6,1.9,14.2,1.7,1.1,5.7,0.5
Tesco Indian Butter Chicken & Rice 450G,2.5,FALSE,149,6,2.9,15.4,2.4,1,7.8,0.5
Tesco Ham Hock In Mustard Sauce 450G,2.5,FALSE,86,2.9,1.4,6.8,1.8,1.4,7.5,0.5
Tesco Chilli & Rice 400G,2.5,FALSE,102,1.7,0.6,13.2,1.5,4.7,6.2,0.3
Tesco Minced Beef Hot Pot 450G,2.5,FALSE,100,2.9,0.8,12.1,2.5,2,5.2,0.3
Tesco Healthy Living Chicken Tikka Masala & Pilau Rice 400G,2.5,FALSE,102,1.5,0.5,14.8,1.6,1.4,6.7,0.3
Tesco Fish Pie 450G,2.5,FALSE,121,5,3.2,9.9,0.8,1.1,8.6,0.5
Tesco Finest Chicken Madeira & Mushroom Rice 450G,3.5,FALSE,137,4.6,1.7,13.4,1.1,1.2,9.8,0.3
Tesco Finest Lancashire Hot Pot 400G,3.5,FALSE,110,3,0.5,11.2,2.2,1.4,8.9,0.6
Tesco Chicken Chow Mein 400G,2.5,FALSE,107,3.1,0.4,10.3,1.6,1.6,8.7,0.4
Tesco Green Thai Chicken Curry & Rice 450G,2.5,FALSE,137,2.9,1.4,20.8,1.6,0.6,6.7,0.4
Tesco Mushroom Risotto 385G,2.5,TRUE,93,2.3,1.1,14,1.7,1.4,3.4,0.4
Hearty Food Company Mac 'N' Cheese 400G,1.1,FALSE,135,4.1,2.5,18,1.6,1.9,5.6,0.3
Hearty Food Company Sausages & Mash 400G,1.1,FALSE,101,3.8,1,13.4,0.5,1.6,2.4,0.6
Hearty Food Company Lasagne 400G,1.1,FALSE,139,6.7,2.8,13,2.4,1.5,5.8,0.5
Hearty Food Company Fish Pie 400G,1.1,FALSE,81,2.2,1.2,11,0.6,0.7,4,0.5
Tesco Finest King Prawn Spaghetti 400G,3.5,FALSE,115,1.8,0.3,18.3,2.8,2.6,5.2,0.5
Tesco Finest Crab Rocket & Chilli Linguine 350G,3.5,FALSE,117,3.6,1.9,14.8,1.6,1.1,5.7,0.4
Tesco Plant Chef Mushroom Cottage Pie 450G,2.5,FALSE,91,2.7,0.9,11.6,1.7,4,3.2,0.5
Tesco Finest Chicken Parmigiana 450G,6,FALSE,145,6.6,1.9,3.7,2.8,1.3,17,0.5
Tesco Finest Chicken & Chorizo Paella 700G,6,FALSE,115,3.1,0.7,14.8,1.8,1.4,6.4,0.5
Tesco Crispy Sweet & Sour Chicken 350G,3.5,FALSE,215,10.1,3.9,19.3,9.7,1,11.1,0.5
Tesco Finest Haddock Risotto 395G,3.5,FALSE,104,2.2,1.2,15.1,1.1,1,5.6,0.4
Tesco Finest Pork Sausage Ragu With Pasta 400G,3.5,FALSE,195,9.4,3.7,16.2,2.1,1.8,10.5,0.7
Tesco Sausage & Mash 400G,2.5,FALSE,84,2,0.9,10.6,1.6,1.5,5.3,0.4
Tesco Finest Chicken Jalfrezi And Rice 450G,3.5,FALSE,114,2.1,0.3,14.9,1.8,1,8.7,0.2
Tesco Spaghetti Carbonara 380G,2.5,FALSE,89,1.3,0.7,13.4,1.6,1,5.4,0.5
Tesco Diet Spaghetti Bolognese 380G,2.5,FALSE,95,2,0.8,12,2.1,1.6,6.5,0.3
Tesco Vegetable Tikka Masala With Rice 450G,2.5,TRUE,113,4,1.3,15.3,2.9,2.6,2.9,0.4
Tesco Chicken & Bacon Pie 450G,2.5,FALSE,113,4.2,2.1,10.9,0.9,0.8,7.4,0.4
Tesco Rice Pot Chicken And Chorizo Paella 330G,1.75,FALSE,107,3,0.6,14.7,1.7,0.8,4.9,0.6
Tesco Chicken & Chorizo Pasta 450G,2.5,FALSE,123,2.4,0.6,17.5,3.2,1.9,6.9,0.4
Tesco Finest Thai Green Chicken Curry & Coconut Jasmine Rice 410G,3.5,FALSE,124,4,1.8,14.7,1.5,0.6,7,0.5
Tesco Finest Slow Cooked Beef Brisket Hash 400G,3.5,FALSE,108,3.6,1.4,9.8,2.3,1.2,8.4,0.4
Tesco Finest Thai Red Chicken Curry & Coconut Jasmine Rice 440G,3.5,FALSE,147,5.1,2.1,17.4,2.5,0.8,7.5,0.5
Tesco Finest King Prawn Chilli Noodles 400G,3.5,FALSE,91,1.6,0.2,14.6,2.7,1.3,4.1,0.8
Tesco Salmon With Broccoli & Green Been 385G,3,FALSE,78,2.1,0.8,7.2,1.5,1.3,6.9,0.1
Tesco Spicy Beef Chilli & Rice 450G,2.5,FALSE,134,2.9,1.1,20.4,2.4,2.5,5.4,0.5
Tesco Beef Cannelloni 450G,2.5,FALSE,140,6.8,2.9,10.8,2.6,1.3,8.3,0.3
Tesco Prawn Linguini 360G,2.5,FALSE,95,1.1,0.5,15.9,1.3,1.1,4.8,0.4
Tesco Fish Pie 400G,2.5,FALSE,81,2,1.2,11.4,1.4,0.9,3.9,0.3
Tesco Finest Beef Chianti & Rosemary Potatoes 450G,3.5,FALSE,114,2.7,0.5,15.1,1.7,1.2,6.7,0.5
Tesco Meal For 1 Sweet & Sour Chicken Chinese Curry 550G,2,FALSE,132,4.3,0.8,16.6,3.9,1.7,5.9,0.5
Tesco Chicken Low Calorie Roast Dinner 400G,2.5,FALSE,72,0.8,0.2,7.2,2.1,1.8,8.1,0.2
Tesco Chicken & Mushroom Hotpot 450G,2.5,FALSE,137,6.1,2,13,2.6,1.1,6.9,0.3
Tesco Chicken Jambalaya 385G,2.5,FALSE,83,1.3,0.3,9,2.6,2.1,7.7,0.4
T.Tex Mex Creamy Cajun Chicken & Rice 450G,2.5,FALSE,138,4.5,2.3,16.5,2,1.9,7,0.4
Tesco Red Thai Curry & Rice 450G,2.5,FALSE,138,2.5,1.1,21,1.7,0.8,7.5,0.3
T.Chinese Chicken Curry & Rice 450G,2.5,FALSE,164,6.4,1.2,18.7,2.2,1.9,6.9,0.3
Tesco Chicken Chow Mein 400G,2.5,FALSE,65,0.6,0.2,8.2,1.9,1.6,6,0.5
T.Chicken & Black Bean With Rice 450G,2.5,FALSE,147,4.8,0.7,18.3,2.6,1.9,6.7,0.4
Tesco Sweet & Sour Chicken With Egg Fried Rice 380G,2.5,FALSE,100,0.8,0.2,15.5,4.6,1.6,6.9,0.3
Tesco Tex Mex Creamy Mustard Chicken 450G,2.5,FALSE,140,6.6,2.7,11.8,2.6,1.3,7.8,0.4
Tesco Indian Lamb Rogan Rice 450G,2.5,FALSE,115,3.1,0.6,15.1,2.5,1.4,6.2,0.5
Tesco Indian Prawn Tikka Masala 450G,2.5,FALSE,124,5.5,1.6,12.9,2.4,2.7,4.3,0.6
