Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
"Sainsbury's Chicken Tikka Biryani, Be Good To Yourself 400g (Serves 1) | Sainsbury's",3,0,104,2.2,0.3,12.5,3.3,3.5,6.8,0.29
"Sainsbury's Lasagne, Basics 300g (Serves 1) | Sainsbury's",1,0,95,3.3,1.4,10.1,2.5,1.9,5.3,0.5
"Sainsbury's Chilli and Rice, Taste the Difference 400g | Sainsbury's",3.25,0,132,4.1,1.5,16,1.4,2,6.5,0.25
"Sainsbury's Cottage Pie, Basics 300g (Serves 1) | Sainsbury's",1,0,94,2.9,1.4,12.3,0.7,1.5,3.9,0.5
Sainsbury's My Goodness! Katsu Chicken Curry & Lemongrass Rice 380g (Serves 1) | Sainsbury's,2.75,0,122,2.7,0.9,16.7,2,0.9,7.2,0.44
"Sainsbury's Chicken & King Prawn Paella, Taste the Difference 400g (Serves 1) | Sainsbury's",3,0,123,3,0.7,16.3,1.2,1.1,6.9,0.51
Sainsbury's Silky Butternut Squash Risotto 350g (Serves 1) | Sainsbury's,2.5,0,96,1.5,0.2,17.9,2.7,1.7,1.9,0.41
Sainsbury's Chicken & Bacon Pasta 400g (Serves 1) | Sainsbury's,2.5,0,135,4.1,1.8,15.4,1.2,1.5,8.1,0.54
Sainsbury's Love Your Veg! Lentil Cottage Pie 400g (Serves 1) | Sainsbury's,2.2,0,74,1.6,0.2,10.4,2.7,4,2.6,0.45
Sainsbury's Tuna Pasta Melt 400g (Serves 1) | Sainsbury's,2.5,0,123,3.7,1.9,14.1,2.1,1.1,7.5,0.49
Sainsbury's Classic Cod In Parsley Sauce 400g (Serves 1) | Sainsbury's,3.2,0,91,2.7,1.5,9.8,1.9,2,5.7,0.35
Sainsbury's My Goodness! Creamy Smoked Haddock Risotto 380g (Serves 1) | Sainsbury's,2.75,0,101,2.6,1,13.6,1.7,1.3,4.9,0.43
Sainsbury's Beef In Black Bean & Rice 400g (Serves 1) | Sainsbury's,2.75,0,137,4.8,1,16.9,2,1.4,6,0.72
Sainsbury's Beef Lasagne 400g (Serves 1) | Sainsbury's,2.5,0,134,5.4,2.4,12.6,2.8,2,7.7,0.37
"Sainsbury's Jambalaya, Be Good To Yourself 400g (Serves 1) | Sainsbury's",3,0,100,1.9,0.4,12.7,3.9,3.3,6.2,0.45
Sainsbury's Indian Chicken Jalfrezi & Pilau Rice 400g (Serves 1) | Sainsbury's,2.8,0,129,4.5,0.5,15,2.3,1.5,6.2,0.49
"Beef Hash, Taste the Difference 400g | Sainsbury's",3,0,131,4.8,1.3,12.4,1.5,1.1,9,0.56
"Sainsbury's Shepherds Pie, Taste the Difference 400g (Serves 1) | Sainsbury's",3,0,132,6.1,3.2,12.9,2.1,1.7,5.5,0.61
"Sainsbury's Wiltshire Ham Gratin, Taste the Difference 400g (Serves 1) | Sainsbury's",3,0,145,8.1,4.6,10.6,2.2,0.9,7.1,0.85
Sainsbury's Thai Green Curry & Rice 400g (Serves 1) | Sainsbury's,3,0,147,4.9,1.5,18.1,1.3,1.1,7.1,0.58
"Sainsbury's Aromatic Chicken Tikka Masala & Rice, Taste the Difference 400g (Serves 1) | Sainsbury's",3.5,0,140,6,2.3,12.7,3.5,1.3,7.9,0.43
"Sainsbury's Steak Chianti & Dumplings, Taste the Difference 400g (Serves 1) | Sainsbury's",3,0,161,7.5,3.8,13.2,3.9,2.9,8.8,0.47
Sainsbury's Singapore Noodles 450g (Serves 1) | Sainsbury's,2.75,0,96,3.3,0.9,10.8,1.6,1.2,5.1,0.65
"Sainsbury's Tomato & Cheese Bake, Be Good To Yourself 400g (Serves 1) | Sainsbury's",2,0,100,2.5,0.9,14.7,3.7,1.5,3.7,0.42
"Sainsbury's Fragrant Kashmiri Chicken Korma & Rice, Taste the Difference 400g (Serves 1) | Sainsbury's",3.5,0,157,7.2,2.6,14.4,3,1.1,8.2,0.35
Sainsbury's Sausage Pasta 400g (Serves 1) | Sainsbury's,2.5,0,120,3.6,1,16.5,3.3,1.5,4.6,0.37
Sainsbury's Chicken Katsu Curry With Rice 400g (Serves 1) | Sainsbury's,3,0,183,6.6,1.3,21.3,0.9,0.8,9.1,0.49
Sainsbury's My Goodness! Mediterranean Vegetable Risotto 380g (Serves 1) | Sainsbury's,2.75,0,90,2.1,0.4,14.4,2.9,1.1,2.6,0.37
Sainsbury's Indian Chicken Madras with Pilau Rice 400g (Serves 1) | Sainsbury's,2.8,0,141,5.6,1.5,14.9,2,2,6.9,0.49
Sainsbury's Ham & Mushroom Tagliatelle 400g (Serves 1) | Sainsbury's,2.5,0,121,4,2.1,14.5,2,1.6,5.9,0.56
Sainsbury's Indian King Prawn Makhani with Pilau Rice 400g (Serves 1) | Sainsbury's,3.25,0,174,7.5,2.6,20.5,3.1,1.5,5.4,0.65
Sainsbury's Spinach & Ricotta Cannelloni 400g (Serves 1) | Sainsbury's,2.5,0,115,4.6,2.3,13.1,3.4,1,4.7,0.41
