Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Indian Chicken Korma with Pilau Rice 400g | Sainsbury's,2.8,0,144,5.1,1.6,15.8,2.4,2.1,7.5,0.49
My Goodness! Chilli Prawn Linguine Pasta 380g | Sainsbury's,3,0,105,2,0.2,15.4,1.4,1.4,5.2,0.44
Stamford St. Food Company Spaghetti Bolognese 300g | Sainsbury's,1,0,92,1.8,0.8,12.9,2.6,2.1,4.9,0.49
"Mediterranean Vegetable Pasta, Be Good To Yourself 380g | Sainsbury's",2,0,92,1.5,0.2,15.5,3.8,1.7,3,0.3
Crispy Sweet & Sour Chicken With Rice 400g | Sainsbury's,3,0,191,6.9,0.8,22.8,4.2,1.7,8.4,0.51
Chinese Chicken Curry & Rice 400g | Sainsbury's,2.75,0,144,5.4,1.3,15.3,1.9,2.1,7.5,0.59
"Chicken Tikka Biryani, Be Good To Yourself 400g | Sainsbury's",3,0,104,2.2,0.3,12.5,3.3,3.5,6.8,0.29
"Lasagne, Basics 300g | Sainsbury's",1,0,95,3.3,1.4,10.1,2.5,1.9,5.3,0.5
"Chilli and Rice, Taste the Difference 400g | Sainsbury's",3.25,0,132,4.1,1.5,16,1.4,2,6.5,0.25
"Cottage Pie, Basics 300g | Sainsbury's",1,0,94,2.9,1.4,12.3,0.7,1.5,3.9,0.5
My Goodness! Katsu Chicken Curry & Lemongrass Rice 380g | Sainsbury's,2.75,0,122,2.7,0.9,16.7,2,0.9,7.2,0.44
"Chicken & King Prawn Paella, Taste the Difference 400g | Sainsbury's",3,0,123,3,0.7,16.3,1.2,1.1,6.9,0.51
Silky Butternut Squash Risotto 350g | Sainsbury's,2.5,0,96,1.5,0.2,17.9,2.7,1.7,1.9,0.41
Chicken & Bacon Pasta 400g | Sainsbury's,2.5,0,135,4.1,1.8,15.4,1.2,1.5,8.1,0.54
Love Your Veg! Lentil Cottage Pie 400g | Sainsbury's,2.2,0,74,1.6,0.2,10.4,2.7,4,2.6,0.45
Tuna Pasta Melt 400g | Sainsbury's,2.5,0,123,3.7,1.9,14.1,2.1,1.1,7.5,0.49
Classic Cod In Parsley Sauce 400g | Sainsbury's,3.2,0,91,2.7,1.5,9.8,1.9,2,5.7,0.35
My Goodness! Creamy Smoked Haddock Risotto 380g | Sainsbury's,2.75,0,101,2.6,1,13.6,1.7,1.3,4.9,0.43
Beef In Black Bean & Rice 400g | Sainsbury's,2.75,0,137,4.8,1,16.9,2,1.4,6,0.72
Beef Lasagne 400g | Sainsbury's,2.5,0,134,5.4,2.4,12.6,2.8,2,7.7,0.37
"Jambalaya, Be Good To Yourself 400g | Sainsbury's",3,0,100,1.9,0.4,12.7,3.9,3.3,6.2,0.45
Indian Chicken Jalfrezi & Pilau Rice 400g | Sainsbury's,2.8,0,129,4.5,0.5,15,2.3,1.5,6.2,0.49
"Beef Hash, Taste the Difference 400g | Sainsbury's",3,0,131,4.8,1.3,12.4,1.5,1.1,9,0.56
"Shepherds Pie, Taste the Difference 400g | Sainsbury's",3,0,132,6.1,3.2,12.9,2.1,1.7,5.5,0.61
"Wiltshire Ham Gratin, Taste the Difference 400g | Sainsbury's",3,0,145,8.1,4.6,10.6,2.2,0.9,7.1,0.85
Thai Green Curry & Rice 400g | Sainsbury's,3,0,147,4.9,1.5,18.1,1.3,1.1,7.1,0.58
"Aromatic Chicken Tikka Masala & Rice, Taste the Difference 400g | Sainsbury's",3.5,0,140,6,2.3,12.7,3.5,1.3,7.9,0.43
"Steak Chianti & Dumplings, Taste the Difference 400g | Sainsbury's",3,0,161,7.5,3.8,13.2,3.9,2.9,8.8,0.47
Singapore Noodles 450g | Sainsbury's,2.75,0,96,3.3,0.9,10.8,1.6,1.2,5.1,0.65
"Tomato & Cheese Bake, Be Good To Yourself 400g | Sainsbury's",2,0,100,2.5,0.9,14.7,3.7,1.5,3.7,0.42
"Fragrant Kashmiri Chicken Korma & Rice, Taste the Difference 400g | Sainsbury's",3.5,0,157,7.2,2.6,14.4,3,1.1,8.2,0.35
Sausage Pasta 400g | Sainsbury's,2.5,0,120,3.6,1,16.5,3.3,1.5,4.6,0.37
Chicken Katsu Curry With Rice 400g | Sainsbury's,3,0,183,6.6,1.3,21.3,0.9,0.8,9.1,0.49
My Goodness! Mediterranean Vegetable Risotto 380g | Sainsbury's,2.75,0,90,2.1,0.4,14.4,2.9,1.1,2.6,0.37
Indian Chicken Madras with Pilau Rice 400g | Sainsbury's,2.8,0,141,5.6,1.5,14.9,2,2,6.9,0.49
Ham & Mushroom Tagliatelle 400g | Sainsbury's,2.5,0,121,4,2.1,14.5,2,1.6,5.9,0.56
Indian King Prawn Makhani with Pilau Rice 400g | Sainsbury's,3.25,0,174,7.5,2.6,20.5,3.1,1.5,5.4,0.65
Spinach & Ricotta Cannelloni 400g | Sainsbury's,2.5,0,115,4.6,2.3,13.1,3.4,1,4.7,0.41
My Goodness! Thai Green Chicken Curry & Rice 380g | Sainsbury's,2.75,0,98,1.7,1,12.4,1.1,0.5,7.9,0.26
Spaghetti Meatballs 400g | Sainsbury's,2.5,0,116,3.8,1.3,13.3,3.1,1.5,6.1,0.41
Mediterranean Vegetable Lasagne 400g | Sainsbury's,2.5,0,87,2.8,0.8,11.7,4.1,1.1,3,0.54
My Goodness! Creamy Coconut Fish Curry 380g | Sainsbury's,3,0,98,1.9,1.4,14.2,1.4,1.1,5.3,0.4
My Goodness! Chicken & Prawn Paella 380g | Sainsbury's,3,0,113,2.2,0.5,14.2,1.7,1,8.5,0.37
Thai Red Curry & Rice 400g | Sainsbury's,3,0,158,5.9,2.4,18.2,1.9,1.4,7.2,0.47
Tomato and Chilli Chicken 400g | Sainsbury's,2.5,0,112,2.5,0.7,14.4,3.2,2.6,6.5,0.38
Tomato & Mozzarella Pasta 400g | Sainsbury's,2.5,0,119,3,1.2,16.1,3.8,3,5.1,0.38
Laksa Chicken Noodle Bowl 360g | Sainsbury's,2.75,0,93,2.3,1.2,11.2,3.1,1.5,6.1,0.42
Love Your Veg! Sweet Potato Katsu Curry & Rice 400g | Sainsbury's,3,0,147,5.2,1.1,21.7,5.3,2,2.2,0.19
"Aromatic Chicken Jalfrezi, Taste the Difference 400g | Sainsbury's",3.5,0,116,4,0.5,11.7,2.6,1.9,7.3,0.41
"Aromatic Royal Chicken Biryani, Taste the Difference 400g | Sainsbury's",3.5,0,153,6.2,0.7,12.9,2.8,2.1,10.2,0.43
Bolognese Melt 400g | Sainsbury's,2.5,0,126,4.1,1.8,14,2.1,1.7,7.3,0.46
Indian Vegetable Biryani 400g | Sainsbury's,2.8,0,128,5.3,0.4,16.6,3.4,2.3,2.4,0.39
Mushroom Risotto 350g | Sainsbury's,2.5,0,103,2.3,0.7,15.1,1.2,2.9,4,0.39
Indian Chicken Tikka Biryani 400g | Sainsbury's,2.8,0,146,5,0.5,16.1,1.9,1.5,8.2,0.44
Indian Lamb Rogan Josh with Pilau Rice 400g | Sainsbury's,3.25,0,139,5,1.1,15.8,2.5,1.9,6.9,0.43
"King Prawn Spaghetti with Tomato & Chilli, Taste the Difference 400g | Sainsbury's",3,0,98,2.7,0.6,12.8,2.9,1.3,5,0.45
Tomato and Basil Spaghetti 400g | Sainsbury's,2.5,0,93,2,0.6,14.6,3.4,2,3.1,0.39
Love Your Veg! Chilli Bean Non Carne & Rice 400g | Sainsbury's,2.2,0,110,1.5,0.2,18.3,2,3.8,3.7,0.35
Love Your Veg! Channa Masala & Cauliflower Pilau Rice 400g | Sainsbury's,2.75,0,118,4.1,0.6,15,2.4,3.9,3.2,0.46
Love Your Veg! Rainbow Vegetable Stew & Dumplings 400g | Sainsbury's,2.5,0,92,3.8,1.3,9.9,2.5,4,2.7,0.45
Butter Chicken & Rice 400g | Sainsbury's,2.8,0,166,8,3.4,15.7,2.9,1.4,7.1,0.53
Chicken Dinner 400g | Sainsbury's,2.5,0,65,0.7,0.3,6.6,1.6,1.7,7.1,0.3
Indian Chicken Balti with Pilau Rice 400g | Sainsbury's,2.8,0,136,4,0.5,17.1,2.9,2.1,6.8,0.63
Deliciously Free From Beef Lasagne 400g | Sainsbury's,3,0,160,6.6,3.6,16.6,1.7,1.7,7.6,0.61
Deliciously Free From Vegetable Lasagne 400g | Sainsbury's,3,0,111,2.7,1.2,18.3,2.2,2.2,2.2,0.36
Classics Lamb Hotpot 400g | Sainsbury's,2.5,0,113,4.8,1.6,11.4,2.6,0.9,5.7,0.61
